date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:05:01	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2022%20Sep%202022%2004:35:00%20GMT	http://img1.wsimg.com/tcc/tcc_l.combined.1.0.6.min.js	C:/Users/Shikhar/Desktop/New%20folder/web/img1.wsimg.com/tcc/tcc_l.combined.1.0.6.min.js	(from https://stocksavenue.in/)
10:05:02	41192/41192	---M-Z	200	added ('OK')	application/javascript	etag:%221cfc0072728eb6ac9d2c6bd3ba5f0e9b%22	http://img1.wsimg.com/blobby/go/81a2182d-4fc8-4cb2-8b7e-9752c3c1df11/gpub/906023cc9504cbb/script.js	C:/Users/Shikhar/Desktop/New%20folder/web/img1.wsimg.com/blobby/go/81a2182d-4fc8-4cb2-8b7e-9752c3c1df11/gpub/906023cc9504cbb/script.js	(from https://stocksavenue.in/)
10:05:04	297226/297226	---M-Z	200	added ('OK')	application/javascript	etag:%22f6ef3c7b1384d0489cb01159cbb8dfb7%22	http://img1.wsimg.com/ceph-p3-01/website-builder-data-prod/static/widgets/UX.4.25.3.js	C:/Users/Shikhar/Desktop/New%20folder/web/img1.wsimg.com/ceph-p3-01/website-builder-data-prod/static/widgets/UX.4.25.3.js	(from https://stocksavenue.in/)
10:05:04	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2022%20Sep%202022%2004:35:01%20GMT	https://img1.wsimg.com/traffic-assets/js/tccl.min.js	C:/Users/Shikhar/Desktop/New%20folder/web/img1.wsimg.com/traffic-assets/js/tccl.min.18.delayed	(from https://stocksavenue.in/)
10:05:05	45537/45537	---M-Z	200	added ('OK')	application/javascript	etag:%22362d20193a8fed115f99b16a157b7fc4%22	https://img6.wsimg.com/wrhs/362d20193a8fed115f99b16a157b7fc4/tccl.min.js	C:/Users/Shikhar/Desktop/New%20folder/web/img6.wsimg.com/wrhs/362d20193a8fed115f99b16a157b7fc4/tccl.min.js	(from https://stocksavenue.in/)
10:05:05	59821/59821	---M-Z	200	added ('OK')	application/javascript	etag:%22e6fc95f8eb9bb95525437e8c4845e4a9%22	http://img1.wsimg.com/blobby/go/81a2182d-4fc8-4cb2-8b7e-9752c3c1df11/gpub/b0b3e58abfb4dc51/script.js	C:/Users/Shikhar/Desktop/New%20folder/web/img1.wsimg.com/blobby/go/81a2182d-4fc8-4cb2-8b7e-9752c3c1df11/gpub/b0b3e58abfb4dc51/script.js	(from https://stocksavenue.in/shop?olsPage=cart)
10:05:06	39520/39520	---M-Z	200	added ('OK')	application/javascript	etag:%22f58b428322b991986515f527ec5c5c5e%22	http://img1.wsimg.com/blobby/go/81a2182d-4fc8-4cb2-8b7e-9752c3c1df11/gpub/2b9af9c34db01d87/script.js	C:/Users/Shikhar/Desktop/New%20folder/web/img1.wsimg.com/blobby/go/81a2182d-4fc8-4cb2-8b7e-9752c3c1df11/gpub/2b9af9c34db01d87/script.js	(from https://stocksavenue.in/shop?olsPage=cart)
10:05:07	59821/59821	---M-Z	200	added ('OK')	application/javascript	etag:%22ea409330d46b1f6cffc33eb8853573a0%22	http://img1.wsimg.com/blobby/go/81a2182d-4fc8-4cb2-8b7e-9752c3c1df11/gpub/fef41a082b221c9/script.js	C:/Users/Shikhar/Desktop/New%20folder/web/img1.wsimg.com/blobby/go/81a2182d-4fc8-4cb2-8b7e-9752c3c1df11/gpub/fef41a082b221c9/script.js	(from https://stocksavenue.in/contact-us)
10:05:07	33931/33931	---M-Z	200	added ('OK')	application/javascript	etag:%22d97e296c53773940d472878b1c27144b%22	http://img1.wsimg.com/blobby/go/81a2182d-4fc8-4cb2-8b7e-9752c3c1df11/gpub/54c2cdaf6e7736b5/script.js	C:/Users/Shikhar/Desktop/New%20folder/web/img1.wsimg.com/blobby/go/81a2182d-4fc8-4cb2-8b7e-9752c3c1df11/gpub/54c2cdaf6e7736b5/script.js	(from https://stocksavenue.in/contact-us)
10:05:08	59821/59821	---M-Z	200	added ('OK')	application/javascript	etag:%2233d5e78776d276d73e45d053d158ac23%22	http://img1.wsimg.com/blobby/go/81a2182d-4fc8-4cb2-8b7e-9752c3c1df11/gpub/8e26a613cca24191/script.js	C:/Users/Shikhar/Desktop/New%20folder/web/img1.wsimg.com/blobby/go/81a2182d-4fc8-4cb2-8b7e-9752c3c1df11/gpub/8e26a613cca24191/script.js	(from https://stocksavenue.in/chat-live-on-whatsapp)
10:05:08	30682/30682	---M-Z	200	added ('OK')	application/javascript	etag:%22c72b373567b0ccf4b7f9b35844b62f06%22	http://img1.wsimg.com/blobby/go/81a2182d-4fc8-4cb2-8b7e-9752c3c1df11/gpub/3714c5e55eaefb98/script.js	C:/Users/Shikhar/Desktop/New%20folder/web/img1.wsimg.com/blobby/go/81a2182d-4fc8-4cb2-8b7e-9752c3c1df11/gpub/3714c5e55eaefb98/script.js	(from https://stocksavenue.in/chat-live-on-whatsapp)
10:05:09	59821/59821	---M-Z	200	added ('OK')	application/javascript	etag:%22033d57ca77e7e4489340a953a5466041%22	http://img1.wsimg.com/blobby/go/81a2182d-4fc8-4cb2-8b7e-9752c3c1df11/gpub/ced95f6c672bd292/script.js	C:/Users/Shikhar/Desktop/New%20folder/web/img1.wsimg.com/blobby/go/81a2182d-4fc8-4cb2-8b7e-9752c3c1df11/gpub/ced95f6c672bd292/script.js	(from https://stocksavenue.in/terms-%26-conditions)
10:05:09	30678/30678	---M-Z	200	added ('OK')	application/javascript	etag:%2288f83324a6cca54dcd4b1907f268e391%22	http://img1.wsimg.com/blobby/go/81a2182d-4fc8-4cb2-8b7e-9752c3c1df11/gpub/a07b7b82864d361c/script.js	C:/Users/Shikhar/Desktop/New%20folder/web/img1.wsimg.com/blobby/go/81a2182d-4fc8-4cb2-8b7e-9752c3c1df11/gpub/a07b7b82864d361c/script.js	(from https://stocksavenue.in/terms-%26-conditions)
10:05:10	59821/59821	---M-Z	200	added ('OK')	application/javascript	etag:%2282fe9bdb89dc9f90451984b735614332%22	http://img1.wsimg.com/blobby/go/81a2182d-4fc8-4cb2-8b7e-9752c3c1df11/gpub/6ba7ff44c1dea0dc/script.js	C:/Users/Shikhar/Desktop/New%20folder/web/img1.wsimg.com/blobby/go/81a2182d-4fc8-4cb2-8b7e-9752c3c1df11/gpub/6ba7ff44c1dea0dc/script.js	(from https://stocksavenue.in/policies-and-disclaimers)
10:05:10	30694/30694	---M-Z	200	added ('OK')	application/javascript	etag:%227fe134804996117aa767c1592cca223a%22	http://img1.wsimg.com/blobby/go/81a2182d-4fc8-4cb2-8b7e-9752c3c1df11/gpub/639b1d3516979e38/script.js	C:/Users/Shikhar/Desktop/New%20folder/web/img1.wsimg.com/blobby/go/81a2182d-4fc8-4cb2-8b7e-9752c3c1df11/gpub/639b1d3516979e38/script.js	(from https://stocksavenue.in/policies-and-disclaimers)
10:05:11	59821/59821	---M-Z	200	added ('OK')	application/javascript	etag:%2277e3915e89e9fc6b256964eb880e1788%22	http://img1.wsimg.com/blobby/go/81a2182d-4fc8-4cb2-8b7e-9752c3c1df11/gpub/488c46cba7ac2f48/script.js	C:/Users/Shikhar/Desktop/New%20folder/web/img1.wsimg.com/blobby/go/81a2182d-4fc8-4cb2-8b7e-9752c3c1df11/gpub/488c46cba7ac2f48/script.js	(from https://stocksavenue.in/shop-now)
